AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CLN_body
45,20,0,10,0.047246324
-4,20,0,20,-0.077585235
0,20,0,20,-0.076387703
4,20,0,20,-0.074472758
8,20,0,20,-0.071151236
12,20,0,20,-0.065246656
16,20,0,20,-0.05104917
20,20,0,20,-0.02748661
30,20,0,20,0.028422192
45,20,0,20,0.061723008
-4,20,0,-10,0.073368909
0,20,0,-10,0.081931533
4,20,0,-10,0.091444068
8,20,0,-10,0.097489111
12,20,0,-10,0.106052506
16,20,0,-10,0.075596409
20,20,0,-10,0.072989866
30,20,0,-10,0.087909858
45,20,0,-10,0.094786414
-4,20,0,-20,0.119289139
0,20,0,-20,0.123355337
4,20,0,-20,0.130559011
8,20,0,-20,0.132302319
12,20,0,-20,0.144512619
16,20,0,-20,0.117601115
20,20,0,-20,0.11955758
30,20,0,-20,0.124825924
45,20,0,-20,0.114524701
-4,20,10,0,0.051094291
0,20,10,0,0.047119796
4,20,10,0,0.036593643
8,20,10,0,0.028968657
12,20,10,0,0.028763455
16,20,10,0,0.015061278
20,20,10,0,0.020385431
30,20,10,0,0.074777754
45,20,10,0,0.051053135
-4,20,10,10,-0.039726961
0,20,10,10,-0.03869892
4,20,10,10,-0.033474644
8,20,10,10,-0.026591319
12,20,10,10,-0.020786454
16,20,10,10,-0.011919121
20,20,10,10,0.01025548
30,20,10,10,0.039349728
45,20,10,10,0.053579324
-4,20,10,20,-0.076513181
0,20,10,20,-0.075248179
4,20,10,20,-0.072475313
8,20,10,20,-0.067557956
12,20,10,20,-0.062056658
16,20,10,20,-0.04744037
20,20,10,20,-0.017583321
30,20,10,20,0.03460561
45,20,10,20,0.054987676
-4,20,10,-10,0.110592756
0,20,10,-10,0.112426269
4,20,10,-10,0.100132033
8,20,10,-10,0.095004972
12,20,10,-10,0.098858704
16,20,10,-10,0.064170545
20,20,10,-10,0.065402886
30,20,10,-10,0.096655076
45,20,10,-10,0.063587952
-4,20,10,-20,0.117864649
0,20,10,-20,0.117267867
4,20,10,-20,0.123800499
8,20,10,-20,0.133147047
12,20,10,-20,0.149144178
16,20,10,-20,0.119121082
20,20,10,-20,0.107558494
30,20,10,-20,0.114206988
45,20,10,-20,0.091786767
-4,20,20,0,0.050075791
0,20,20,0,0.046155825
4,20,20,0,0.035931686
8,20,20,0,0.028810661
12,20,20,0,0.028594214
16,20,20,0,0.031893116
20,20,20,0,0.027805454
30,20,20,0,0.078050902
45,20,20,0,0.043861865
-4,20,20,10,-0.039378935
0,20,20,10,-0.038957364
4,20,20,10,-0.033630357
8,20,20,10,-0.027143365
12,20,20,10,-0.019617379
16,20,20,10,-0.010651787
20,20,20,10,0.015628349
30,20,20,10,0.04746954
45,20,20,10,0.048721654
-4,20,20,20,-0.076184028
0,20,20,20,-0.075077378
4,20,20,20,-0.070698651
8,20,20,20,-0.066244474
12,20,20,20,-0.058165952
16,20,20,20,-0.045423921
20,20,20,20,-0.013804329
30,20,20,20,0.043994951
45,20,20,20,0.047205967
-4,20,20,-10,0.068368019
0,20,20,-10,0.077283447
4,20,20,-10,0.088699433
8,20,20,-10,0.097880966
12,20,20,-10,0.107890612
16,20,20,-10,0.111539307
20,20,20,-10,0.079085016
30,20,20,-10,0.082302385
45,20,20,-10,0.067433989
-4,20,20,-20,0.107513509
0,20,20,-20,0.10588971
4,20,20,-20,0.107375443
8,20,20,-20,0.113610021
12,20,20,-20,0.127394922
16,20,20,-20,0.12706814
20,20,20,-20,0.093873696
30,20,20,-20,0.103192517
45,20,20,-20,0.082274249
-4,20,-10,0,0.046382111
0,20,-10,0,0.04195302
4,20,-10,0,0.027702027
8,20,-10,0,0.019769345
12,20,-10,0,0.016813265
16,20,-10,0,-0.0029523
20,20,-10,0,0.002985552
30,20,-10,0,0.066830023
45,20,-10,0,0.080986181
-4,20,-10,10,-0.041548648
0,20,-10,10,-0.04051701
4,20,-10,10,-0.036422397
8,20,-10,10,-0.031172913
12,20,-10,10,-0.02821937
16,20,-10,10,-0.025114943
20,20,-10,10,-0.009281576
30,20,-10,10,0.027833629
45,20,-10,10,0.085152266
-4,20,-10,20,-0.077008643
0,20,-10,20,-0.07660706
4,20,-10,20,-0.076097165
8,20,-10,20,-0.073465166
12,20,-10,20,-0.068621306
16,20,-10,20,-0.054128265
20,20,-10,20,-0.029500977
30,20,-10,20,0.021780261
45,20,-10,20,0.079621898
-4,20,-10,-10,0.074765235
0,20,-10,-10,0.079080882
4,20,-10,-10,0.086599849
8,20,-10,-10,0.0904744
12,20,-10,-10,0.097956543
16,20,-10,-10,0.077482336
20,20,-10,-10,0.073117684
30,20,-10,-10,0.097494171
45,20,-10,-10,0.116721259
-4,20,-10,-20,0.125233412
0,20,-10,-20,0.125064285
4,20,-10,-20,0.128520252
8,20,-10,-20,0.126908125
12,20,-10,-20,0.134686433
16,20,-10,-20,0.119933794
20,20,-10,-20,0.123560338
30,20,-10,-20,0.137507605
45,20,-10,-20,0.141529697
-4,20,-20,0,0.044984985
0,20,-20,0,0.035897396
4,20,-20,0,0.024548925
8,20,-20,0,0.015848455
12,20,-20,0,0.010983902
16,20,-20,0,-0.011903007
20,20,-20,0,-0.000967976
30,20,-20,0,0.065729517
45,20,-20,0,0.087619279
-4,20,-20,10,-0.037418956
0,20,-20,10,-0.037671698
4,20,-20,10,-0.034220533
8,20,-20,10,-0.030098814
12,20,-20,10,-0.028976295
16,20,-20,10,-0.030206844
20,20,-20,10,-0.01671063
30,20,-20,10,0.027127838
45,20,-20,10,0.09410482
-4,20,-20,20,-0.073302612
0,20,-20,20,-0.073943639
4,20,-20,20,-0.07466418
8,20,-20,20,-0.074516274
12,20,-20,20,-0.069733703
16,20,-20,20,-0.05787595
20,20,-20,20,-0.033819356
30,20,-20,20,0.019446382
45,20,-20,20,0.087722642
-4,20,-20,-10,0.069324082
0,20,-20,-10,0.074297552
4,20,-20,-10,0.080187362
8,20,-20,-10,0.08283707
12,20,-20,-10,0.089296955
16,20,-20,-10,0.068300853
20,20,-20,-10,0.063476952
30,20,-20,-10,0.106463083
45,20,-20,-10,0.128115594
-4,20,-20,-20,0.110656145
0,20,-20,-20,0.117220021
4,20,-20,-20,0.117972397
8,20,-20,-20,0.114807958
12,20,-20,-20,0.11950887
16,20,-20,-20,0.115225968
20,20,-20,-20,0.121267961
30,20,-20,-20,0.15421257
45,20,-20,-20,0.157029469
