AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CY_body
8,20,10,20,0.002565352
12,20,10,20,0.030747487
16,20,10,20,0.067112217
20,20,10,20,0.086854764
30,20,10,20,0.061849008
45,20,10,20,-0.065538077
-4,20,10,-10,-0.17760541
0,20,10,-10,-0.166984697
4,20,10,-10,-0.153755713
8,20,10,-10,-0.13923471
12,20,10,-10,-0.117510684
16,20,10,-10,-0.046468878
20,20,10,-10,-0.002023563
30,20,10,-10,0.05696299
45,20,10,-10,-0.084010071
-4,20,10,-20,-0.165479583
0,20,10,-20,-0.166745383
4,20,10,-20,-0.163074626
8,20,10,-20,-0.150057509
12,20,10,-20,-0.129408963
16,20,10,-20,-0.060795144
20,20,10,-20,-0.002573415
30,20,10,-20,0.027563411
45,20,10,-20,-0.094436553
-4,20,20,0,-0.127273873
0,20,20,0,-0.114993323
4,20,20,0,-0.103844687
8,20,20,0,-0.088130371
12,20,20,0,-0.063432004
16,20,20,0,-0.020135504
20,20,20,0,0.031763558
30,20,20,0,0.058059785
45,20,20,0,-0.075206528
-4,20,20,10,-0.045633488
0,20,20,10,-0.04796671
4,20,20,10,-0.043889401
8,20,20,10,-0.028635303
12,20,20,10,-0.000959648
16,20,20,10,0.041372654
20,20,20,10,0.058217556
30,20,20,10,0.062158226
45,20,20,10,-0.069994044
-4,20,20,20,-0.015082068
0,20,20,20,-0.018072489
4,20,20,20,-0.013491345
8,20,20,20,0.003124348
12,20,20,20,0.029660379
16,20,20,20,0.06757483
20,20,20,20,0.08355946
30,20,20,20,0.052129807
45,20,20,20,-0.068118025
-4,20,20,-10,-0.132325993
0,20,20,-10,-0.139626871
4,20,20,-10,-0.138934662
8,20,20,-10,-0.124940757
12,20,20,-10,-0.099058382
16,20,20,-10,-0.051737407
20,20,20,-10,0.00947885
30,20,20,-10,0.047573102
45,20,20,-10,-0.084141311
-4,20,20,-20,-0.159794281
0,20,20,-20,-0.158331136
4,20,20,-20,-0.150111084
8,20,20,-20,-0.134583342
12,20,20,-20,-0.112204153
16,20,20,-20,-0.063857587
20,20,20,-20,0.003404978
30,20,20,-20,0.025283017
45,20,20,-20,-0.091624737
-4,20,-10,0,-0.125813058
0,20,-10,0,-0.112685334
4,20,-10,0,-0.099997752
8,20,-10,0,-0.084280154
12,20,-10,0,-0.058563834
16,20,-10,0,-0.000364776
20,20,-10,0,0.046277776
30,20,-10,0,0.080468236
45,20,-10,0,-0.072015177
-4,20,-10,10,-0.045349172
0,20,-10,10,-0.049205504
4,20,-10,10,-0.045116241
8,20,-10,10,-0.029812712
12,20,-10,10,-0.000394374
16,20,-10,10,0.046044853
20,20,-10,10,0.084247941
30,20,-10,10,0.093653458
45,20,-10,10,-0.069114022
-4,20,-10,20,-0.016325482
0,20,-10,20,-0.019861486
4,20,-10,20,-0.013327904
8,20,-10,20,0.003709319
12,20,-10,20,0.031586878
16,20,-10,20,0.068244542
20,20,-10,20,0.097850538
30,20,-10,20,0.082083415
45,20,-10,20,-0.061458519
-4,20,-10,-10,-0.135272437
0,20,-10,-10,-0.140617085
4,20,-10,-10,-0.137976001
8,20,-10,-10,-0.121321352
12,20,-10,-10,-0.094454008
16,20,-10,-10,-0.031669284
20,20,-10,-10,0.02462269
30,20,-10,-10,0.046000259
45,20,-10,-10,-0.088702846
-4,20,-10,-20,-0.171542985
0,20,-10,-20,-0.173238583
4,20,-10,-20,-0.167381842
8,20,-10,-20,-0.147152044
12,20,-10,-20,-0.121881363
16,20,-10,-20,-0.064489204
20,20,-10,-20,-0.010754279
30,20,-10,-20,0.015868732
45,20,-10,-20,-0.103110512
-4,20,-20,0,-0.112672794
0,20,-20,0,-0.108559627
4,20,-20,0,-0.099135033
8,20,-20,0,-0.083393028
12,20,-20,0,-0.057738719
16,20,-20,0,0.004497414
20,20,-20,0,0.048190539
30,20,-20,0,0.083085004
45,20,-20,0,-0.068581091
-4,20,-20,10,-0.048131271
0,20,-20,10,-0.051149137
4,20,-20,10,-0.047041525
8,20,-20,10,-0.031525492
12,20,-20,10,-0.001432819
16,20,-20,10,0.048011991
20,20,-20,10,0.08919205
30,20,-20,10,0.097691446
45,20,-20,10,-0.068350144
-4,20,-20,20,-0.018427141
0,20,-20,20,-0.021460718
4,20,-20,20,-0.014599316
8,20,-20,20,0.003721986
12,20,-20,20,0.031018112
16,20,-20,20,0.069088144
20,20,-20,20,0.095161703
30,20,-20,20,0.092375217
45,20,-20,20,-0.0624138
-4,20,-20,-10,-0.132249869
0,20,-20,-10,-0.138342737
4,20,-20,-10,-0.135436705
8,20,-20,-10,-0.118071993
12,20,-20,-10,-0.091236924
16,20,-20,-10,-0.027996469
20,20,-20,-10,0.019015388
30,20,-20,-10,0.031843868
45,20,-20,-10,-0.095778984
-4,20,-20,-20,-0.163205944
0,20,-20,-20,-0.169738146
4,20,-20,-20,-0.162594112
8,20,-20,-20,-0.142023658
12,20,-20,-20,-0.11509434
16,20,-20,-20,-0.06439006
20,20,-20,-20,-0.028328271
30,20,-20,-20,-0.02171256
45,20,-20,-20,-0.111107688
