AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CZ_body
20,0,-10,-20,-0.860220786
30,0,-10,-20,-1.487243852
45,0,-10,-20,-2.155195041
-4,0,-20,0,0.3596138
0,0,-20,0,0.16635839
4,0,-20,0,-0.021119117
8,0,-20,0,-0.207897697
12,0,-20,0,-0.372610006
16,0,-20,0,-0.560381399
20,0,-20,0,-0.783434042
30,0,-20,0,-1.393660535
45,0,-20,0,-2.073678519
-4,0,-20,10,0.353102906
0,0,-20,10,0.16627326
4,0,-20,10,-0.022507963
8,0,-20,10,-0.203604418
12,0,-20,10,-0.377367934
16,0,-20,10,-0.563940327
20,0,-20,10,-0.777575287
30,0,-20,10,-1.379662052
45,0,-20,10,-2.0877639
-4,0,-20,20,0.373954586
0,0,-20,20,0.173155557
4,0,-20,20,-0.017295845
8,0,-20,20,-0.192900391
12,0,-20,20,-0.363096104
16,0,-20,20,-0.558231593
20,0,-20,20,-0.777875303
30,0,-20,20,-1.426782813
45,0,-20,20,-2.100254698
-4,0,-20,-10,0.35312066
0,0,-20,-10,0.162761802
4,0,-20,-10,-0.022928444
8,0,-20,-10,-0.2047445
12,0,-20,-10,-0.376494383
16,0,-20,-10,-0.560936983
20,0,-20,-10,-0.778587553
30,0,-20,-10,-1.373031482
45,0,-20,-10,-2.084156071
-4,0,-20,-20,0.368112729
0,0,-20,-20,0.173856665
4,0,-20,-20,-0.015840337
8,0,-20,-20,-0.192324958
12,0,-20,-20,-0.364735792
16,0,-20,-20,-0.558537203
20,0,-20,-20,-0.776870513
30,0,-20,-20,-1.42725627
45,0,-20,-20,-2.100773372
-4,-10,0,0,0.194183266
0,-10,0,0,0.019169893
4,-10,0,0,-0.159994559
8,-10,0,0,-0.350705022
12,-10,0,0,-0.549456926
16,-10,0,0,-0.753251332
20,-10,0,0,-1.004753263
30,-10,0,0,-1.447515917
45,-10,0,0,-1.661037071
-4,-10,0,10,0.204730104
0,-10,0,10,0.022657903
4,-10,0,10,-0.160376103
8,-10,0,10,-0.346613129
12,-10,0,10,-0.535354183
16,-10,0,10,-0.742911466
20,-10,0,10,-0.99078264
30,-10,0,10,-1.483471027
45,-10,0,10,-1.680315663
-4,-10,0,20,0.208500168
0,-10,0,20,0.028999768
4,-10,0,20,-0.152829783
8,-10,0,20,-0.335857714
12,-10,0,20,-0.528012595
16,-10,0,20,-0.736036159
20,-10,0,20,-0.988284596
30,-10,0,20,-1.582489991
45,-10,0,20,-1.696380956
-4,-10,0,-10,0.194333668
0,-10,0,-10,0.0171445
4,-10,0,-10,-0.159152035
8,-10,0,-10,-0.344818805
12,-10,0,-10,-0.552665672
16,-10,0,-10,-0.774262451
20,-10,0,-10,-1.034225579
30,-10,0,-10,-1.493040677
45,-10,0,-10,-1.700837393
-4,-10,0,-20,0.185585074
0,-10,0,-20,0.013387579
4,-10,0,-20,-0.157701009
8,-10,0,-20,-0.341180294
12,-10,0,-20,-0.536911252
16,-10,0,-20,-0.761879774
20,-10,0,-20,-1.017048509
30,-10,0,-20,-1.38720657
45,-10,0,-20,-1.656101393
-4,-10,10,0,0.126043817
0,-10,10,0,-0.066697888
4,-10,10,0,-0.251985817
8,-10,10,0,-0.450193094
12,-10,10,0,-0.657916127
16,-10,10,0,-0.866153849
20,-10,10,0,-1.105713722
30,-10,10,0,-1.510452612
45,-10,10,0,-1.739277925
-4,-10,10,10,0.135130921
0,-10,10,10,-0.060260295
4,-10,10,10,-0.246695434
8,-10,10,10,-0.438292736
12,-10,10,10,-0.64324119
16,-10,10,10,-0.854585726
20,-10,10,10,-1.103073497
30,-10,10,10,-1.537884098
45,-10,10,10,-1.758657369
-4,-10,10,20,0.139026561
0,-10,10,20,-0.049623556
4,-10,10,20,-0.234426082
8,-10,10,20,-0.430545097
12,-10,10,20,-0.638188546
16,-10,10,20,-0.846145901
20,-10,10,20,-1.084880324
30,-10,10,20,-1.537165486
45,-10,10,20,-1.733504251
-4,-10,10,-10,0.114992922
0,-10,10,-10,-0.067302105
4,-10,10,-10,-0.246345722
8,-10,10,-10,-0.439752255
12,-10,10,-10,-0.642599775
16,-10,10,-10,-0.867556208
20,-10,10,-10,-1.115573308
30,-10,10,-10,-1.419120532
45,-10,10,-10,-1.686563976
-4,-10,10,-20,0.1160773
0,-10,10,-20,-0.068348248
4,-10,10,-20,-0.247084569
8,-10,10,-20,-0.439536519
12,-10,10,-20,-0.642052803
16,-10,10,-20,-0.864372558
20,-10,10,-20,-1.114947224
30,-10,10,-20,-1.406891142
45,-10,10,-20,-1.690803577
-4,-10,20,0,0.05988026
0,-10,20,0,-0.127129903
4,-10,20,0,-0.313285406
8,-10,20,0,-0.51336952
12,-10,20,0,-0.713613476
16,-10,20,0,-0.923061507
20,-10,20,0,-1.152814451
30,-10,20,0,-1.497651066
45,-10,20,0,-1.760421016
-4,-10,20,10,0.065368482
0,-10,20,10,-0.117295497
4,-10,20,10,-0.301961194
8,-10,20,10,-0.496405941
12,-10,20,10,-0.700993788
16,-10,20,10,-0.907321169
20,-10,20,10,-1.120317813
30,-10,20,10,-1.454300168
45,-10,20,10,-1.735297944
-4,-10,20,20,0.06485951
0,-10,20,20,-0.114512222
4,-10,20,20,-0.296462292
8,-10,20,20,-0.49311776
12,-10,20,20,-0.695011704
16,-10,20,20,-0.910118904
20,-10,20,20,-1.097326736
30,-10,20,20,-1.460807226
45,-10,20,20,-1.751546156
-4,-10,20,-10,0.047227696
0,-10,20,-10,-0.127799978
4,-10,20,-10,-0.31016136
8,-10,20,-10,-0.504012176
12,-10,20,-10,-0.707637119
16,-10,20,-10,-0.92323108
20,-10,20,-10,-1.144912163
30,-10,20,-10,-1.415312013
45,-10,20,-10,-1.704925115
-4,-10,20,-20,0.045670131
0,-10,20,-20,-0.131959404
4,-10,20,-20,-0.312650104
8,-10,20,-20,-0.503631702
12,-10,20,-20,-0.707504646
16,-10,20,-20,-0.928668524
20,-10,20,-20,-1.161259495
30,-10,20,-20,-1.417331155
45,-10,20,-20,-1.742701831
-4,-10,-10,0,0.290016291
0,-10,-10,0,0.107179239
4,-10,-10,0,-0.078103515
8,-10,-10,0,-0.270784889
12,-10,-10,0,-0.46614835
16,-10,-10,0,-0.668712634
20,-10,-10,0,-0.915999515
30,-10,-10,0,-1.511574579
45,-10,-10,0,-1.67597914
-4,-10,-10,10,0.290513158
0,-10,-10,10,0.104144519
4,-10,-10,10,-0.083917984
8,-10,-10,10,-0.272814748
12,-10,-10,10,-0.456657464
16,-10,-10,10,-0.64845442
20,-10,-10,10,-0.890016654
30,-10,-10,10,-1.47419794
45,-10,-10,10,-1.629579442
-4,-10,-10,20,0.306608432
0,-10,-10,20,0.119862672
4,-10,-10,20,-0.066209834
8,-10,-10,20,-0.248740236
12,-10,-10,20,-0.436361712
16,-10,-10,20,-0.627380534
20,-10,-10,20,-0.884514382
30,-10,-10,20,-1.495969187
45,-10,-10,20,-1.646770552
-4,-10,-10,-10,0.281078809
0,-10,-10,-10,0.105825442
4,-10,-10,-10,-0.072225129
8,-10,-10,-10,-0.259417935
12,-10,-10,-10,-0.453152841
